Min of VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9743473,Mimmi Schulte,0.06579439548376993,27,20.074074074074073,1,Container,HK SMC,-1421.1589424494305
9667540,Mistral,0.46179310344827584,29,27.06896551724138,0.78,Oil/Chem Tanker,SG SMC,-10713.6
9743485,Molly Schulte,0,4,28.25,1,Container,HK SMC,0
9667564,Monsoon,0.0022222222222222222,54,24.38888888888889,0.78,Oil/Chem Tanker,SG SMC,-96
9220794,Moritz Schulte,0.1258232151529869,29,14.379310344827585,0.84,Gas Tanker,IN SMC,-2919.0985915492956
9741786,Mount Broad Peak,0,51,25.901960784313726,1,Bulk Carrier,SG SMC,0
9741774,Mount Gongga,0,66,24.318181818181817,1,Bulk Carrier,SG SMC,0
9271999,Moyra,0.08461538461538462,39,22.28205128205128,0.8,Oil/Chem Tanker,DE SMC,-2640
9703590,MP Ultramax 1,0.09359806900476172,52,17.5,1.1,Bulk Carrier,SG SMC,-3893.6796705980883
9703605,MP Ultramax 2,0.015124633431085045,44,27.272727272727273,1.1,Bulk Carrier,SG SMC,-532.3870967741935
9619464,MSC Agadir,0.052305665349143604,23,23.608695652173914,2.5,Container,IN SMC,-962.4242424242425
9619476,MSC Antigua,0.017647058823529415,34,26.58823529411765,2.5,Container,IN SMC,-480
9605231,MSC Dakar X,0.006754855052068675,34,18.705882352941178,2.5,Container,HK SMC,-183.73205741626793
9605152,MSC Lagos X,0.12800000000000003,30,25.433333333333334,2.5,Container,HK SMC,-3072.0000000000005
9484558,MSC Lome V,0.0286,34,26.676470588235293,1.5,Container,SG SMC,-777.9200000000001
9878876,Mu Lan,0.022512605042016808,68,26.352941176470587,1.344,LNG Carrier,GR SMC,-1224.6857142857143
9552408,NGM Bond,0,67,25.850746268656717,1.08,Bulk Carrier,GR SMC,0
9595591,NGM Glory,0.018915966386554624,70,23.34285714285714,1.08,Bulk Carrier,GR SMC,-1059.2941176470588
9595606,NGM Honor,0,52,28.73076923076923,1.08,Bulk Carrier,GR SMC,0
9375939,NGM Panther,0.0014285714285714286,70,29.757142857142856,0.52,Bulk Carrier,CYP SMC,-80
9966312,Nicolaus Schulte,0.022736842105263163,57,27.31578947368421,0.7,Bulk Carrier,CYP SMC,-1036.8
9966300,Nora Schulte,0.020974967061923585,66,23.151515151515152,0.7,Bulk Carrier,CYP SMC,-1107.4782608695652
9883041,Nord Minami,0.016413373860182368,56,21.321428571428573,1.5,Oil Tanker /Chem,SG SMC,-735.31914893617
9890939,Nord Mirai,0.007446034440941062,38,26.86842105263158,1.5,Oil Tanker /Chem,SG SMC,-226.35944700460828
9890927,Nord Miyako,1.9974816491820162,60,27.066666666666666,1.5,Oil Tanker /Chem,SG SMC,-95879.1191607368
9624627,Nord Nanami,0.0015574302401038288,67,25.35820895522388,0.52,Bulk Carrier,HK SMC,-83.47826086956522
9800104,Nordic Ace,1.996538721467474,36,27.083333333333332,1.29,Oil/Chem Tanker,SG SMC,-57500.31517826325
9800051,Nordic Ami,0.6180097379674688,58,17.46551724137931,1.29,Oil/Chem Tanker,SG SMC,-28675.651841690553
9800116,Nordic Aqua,0.40940581085794786,43,26.348837209302324,1.29,Oil/Chem Tanker,SG SMC,-14083.55989351341
9884966,Nordic Nuluujaak,0.354578,20,12,1.1,Bulk Carrier,CYP SMC,-5673.2480000000005
9727120,Nordic Oasis,0.6013146446776613,20,14.75,0.83,Bulk Carrier,CYP SMC,-9621.034314842578
9687239,Nordic Odin,0.29515399243435225,58,19.982758620689655,0.83,Bulk Carrier,CYP SMC,-13695.145248953944
9727118,Nordic Olympic,0.0058823529411764705,51,22.431372549019606,0.83,Bulk Carrier,CYP SMC,-240
9529463,Nordic Orion,0.014285714285714287,7,11.428571428571429,0.91,Bulk Carrier,CYP SMC,-80
9687227,Nordic Oshima,0.2545759849906191,10,27.8,0.83,Bulk Carrier,CYP SMC,-2036.607879924953
9884978,Nordic Qinngua,0.5911652173913042,21,17.38095238095238,1.1,Bulk Carrier,CYP SMC,-9931.575652173913
9895795,Nordic Sanngijuq,0.011674576271186442,59,24.440677966101696,1.1,Bulk Carrier,CYP SMC,-551.04
9895800,Nordic Siku,0.016129032258064516,31,22.35483870967742,1.1,Bulk Carrier,CYP SMC,-400
9405916,Oak Express,0.05959152621277229,37,24.243243243243242,0.87,Chemical Tanker,SG SMC,-1763.9091758980599
9337004,Oceanus,1.3715142428785607,58,18.724137931034484,1.8,Oil Tanker,CYP SMC,-63638.260869565216
9769300,One Tradition,0,8,27.25,2.5,Container,HK SMC,0
9769295,One Tribute,0.15884199363732768,23,24.043478260869566,2.5,Container,HK SMC,-2922.6926829268295
9522972,Ore China,0,68,25.558823529411764,1.023,Ore Carrier,IN SMC,0
9532513,Ore Dongjiakou,0,72,24.38888888888889,1.023,Ore Carrier,IN SMC,0
9532537,Ore Hebei,0,29,24.20689655172414,1.023,Ore Carrier,IN SMC,0
9532549,Ore Shandong,0,75,21.826666666666668,1.023,Ore Carrier,IN SMC,0
9902926,Orion Bohemia,0.019050361662121186,38,27.05263157894737,1.008,LNG Carrier,GR SMC,-579.130994528484
9917543,Orion Jessica,0.028125,32,22.1875,1.008,LNG Carrier,GR SMC,-720
9889904,Orion Sea,0.7210874343048257,39,22.256410256410255,0.738,LNG Carrier,GR SMC,-22497.92795031056
9889916,Orion Sun,0.006153846153846154,65,24.43076923076923,0.738,LNG Carrier,GR SMC,-320
9778478,Pacific Hong Kong,0,46,25.543478260869566,0.657,Gas Tanker,SG SMC,0
9739953,Pacific Qingdao,0.009054726368159204,67,28.37313432835821,0.657,Gas Tanker,SG SMC,-485.3333333333333
9938511,Pacificator,0.010781671159029648,14,24.071428571428573,0.6557999999999999,Oil/Chem Tanker,GR SMC,-120.75471698113208
9674854,Passat,0,37,26.18918918918919,0.78,Oil/Chem Tanker,SG SMC,0
9340752,Phen Basin,0.005422647527910686,57,25.859649122807017,1.5,Container,CYP SMC,-247.27272727272725
9405928,Pine Express,0.025014424337791767,41,23.878048780487806,0.87,Chemical Tanker,SG SMC,-820.4731182795699
9403310,PIS Paragon,0.4731264823269303,38,23.263157894736842,1.5,Oil/Chem,SG SMC,-14383.04506273868
9294563,PIS Pioneer,0.09999999999999999,6,28.5,3.24,Tanker,SG SMC,-480
9426295,PIS Polaris,0.5155802114883894,51,26.901960784313726,1.5,Oil/Chem,SG SMC,-21035.672628726283
9645798,PIS Sumatera,0,53,23.433962264150942,1.2,Chem oil/ Tanker,SG SMC,0
9803235,Poestella,1.1197304806250055,44,20.5,0.62,Tanker - Butumen,SG SMC,-39414.5129180002
9923451,Proteus Elsie,0.10947368421052632,57,29.105263157894736,0.6,Oil/Chem Tanker,SG SMC,-4992
9923401,Proteus Harvonne,0,50,28,0.6,Oil/Chem Tanker,SG SMC,0
9923463,Proteus Ingrid,0,57,21.666666666666668,0.6,Oil/Chem Tanker,SG SMC,0
9923425,Proteus Philippa,0.38695652173913037,46,21.26086956521739,0.6,Oil/Chem Tanker,SG SMC,-14239.999999999998
9923475,Proteus Rong Na,0.11194029850746268,67,23.73134328358209,0.6,Oil/Chem Tanker,SG SMC,-6000
9923413,Proteus Sinead,0,61,27.19672131147541,0.6,Oil/Chem Tanker,SG SMC,0
9923449,Proteus Tracy,0.046,50,27.32,0.6,Oil/Chem Tanker,SG SMC,-1840
9665308,Raina,0,69,29.956521739130434,0.78,Bulk Carrier,SG SMC,0
9623661,RDO Favour,0,23,30.217391304347824,1.3,Container,DE SMC,0
9623673,RDO Fortune,0.0029411764705882353,34,24.676470588235293,1.3,Container,DE SMC,-80
9576753,Rebecca Schulte,1.9513601398601397,52,20.384615384615383,1.3,Oil/Chem Tanker,SG SMC,-81176.58181818182
9576789,Reinhold Schulte,0.3216025982780279,66,16.818181818181817,1.3,Oil/Chem Tanker,SG SMC,-16980.61718907988
9542489,ROSCO Banyan,0,68,21.41176470588235,1.02,Bulk Carrier,CN SMC,0
9803247,Rostella,0.9905858098390917,60,23.85,0.62,Tanker - Butumen,SG SMC,-47548.11887227641
9375604,Royal Jasmine,0.11775856570881905,52,24,0.5,Tanker,IN SMC,-4898.756333486873
9576765,Rudolf Schulte,0.4775680897955822,38,22.81578947368421,1.3,Oil/Chem Tanker,SG SMC,-14518.069929785703
9568495,Sakura Advance,0,51,29.666666666666668,0.6,Oil/Chem Tanker,SG SMC,0
9568500,Sakura Belle,0.0911649816577531,53,25.528301886792452,0.6,Oil/Chem Tanker,SG SMC,-3865.3952222887306
9568512,Sakura Crest,0.02907604702195552,68,31.308823529411764,0.6,Oil/Chem Tanker,SG SMC,-1581.73695799438
9560376,San Diego Bridge,0.029982020855807263,27,12.555555555555555,1.4,Bulk Carrier,HK SMC,-647.6116504854369
9698628,San Felipe,0.3407329192546584,14,10.071428571428571,2.5,Container,SG SMC,-3816.2086956521734
9698630,San Felix,0.025203252032520322,41,24.24390243902439,2.5,Container,SG SMC,-826.6666666666666
9698642,San Fernando,0,51,24.176470588235293,5,Container,SG SMC,0
9698654,San Francisca,0.0011006649850951616,49,25.306122448979593,2.5,Container,SG SMC,-43.146067415730336
9682887,Sea Bliss,0.011613333333333333,50,20.26,0.46,Bulk Carrier,HK SMC,-464.5333333333333
9308950,Sea Senor,0.7996598639455783,21,20,0.78,Tanker,SG SMC,-13434.285714285714
9567661,Seroja Lima,0,10,24.4,2,Container,HK SMC,0
9525821,SFL Hudson,0,32,24.625,0.555,Bulk Carrier,SG SMC,0
9635688,SFL Maui,0,17,22,1.7,Container,SG SMC,0
9617935,SFL Pearl,0,66,27.53030303030303,1.44,Bulk Carrier,SG SMC,0
9539834,SFL Sara,0,8,26.25,0.555,Bulk Carrier,SG SMC,0
9617947,SFL Yangtze,0.0029197080291970805,48,29.583333333333332,1.44,Bulk Carrier,SG SMC,-112.11678832116789
9600839,SFL Yukon,0.018695652173913044,30,24.8,0.555,Bulk Carrier,SG SMC,-448.695652173913
9971484,Shine Agate,0,59,18.915254237288135,0.8,Bulk Carrier,CN SMC,0
9971458,Shine Amber,0,50,30,0.8,Bulk Carrier,CN SMC,0
9971460,Shine Coral,0.011749843652282675,65,27.70769230769231,0.8,Bulk Carrier,CN SMC,-610.9918699186992
9686376,Sirocco,0.47368561373644186,34,22.441176470588236,0.78,Oil/Chem Tanker,SG SMC,-12884.248693631216
9887384,Solar Alice,0.6134018426839956,26,14.346153846153847,0.9,Oil/Chem Tanker,CYP SMC,-12758.758327827109
9887401,Solar Catie,1.6531201056728033,38,27.026315789473685,0.9,Oil/Chem Tanker,CYP SMC,-50254.85121245323
9887396,Solar Naama,1.344623823121266,29,14.310344827586206,0.9,Oil/Chem Tanker,CYP SMC,-31195.27269641337
9887372,Solar Roma,2.048818786000357,47,29.829787234042552,0.9,Oil/Chem Tanker,CYP SMC,-77035.58635361344
9743617,Spirit Of Seatrek,0,28,28.964285714285715,0.84,Bulk Carrier,SG SMC,0
9313101,Sriwangi,0,44,30.863636363636363,0.75,Tanker,SG SMC,0
9313096,Sriwangi II,0,28,30.178571428571427,0.75,Tanker,SG SMC,0
9892456,Tenergy,0.04736024844720497,77,22.571428571428573,1.8,LNG Carrier,GR SMC,-2917.391304347826
9542984,Thalea Schulte,0,48,26.770833333333332,0.696,Gas Carrier,IN SMC,0
9551777,Thekla Schulte,0,52,18.615384615384617,0.744,Gas Carrier,IN SMC,0
9553622,Theresa Schulte,0,66,26.439393939393938,0.696,Gas Carrier,IN SMC,0
9897925,TM Lustrous,0,65,24.615384615384617,0.37,Bulk Carrier,HK SMC,0
9446116,TMN Plenitude,0.5641086409838242,30,29.633333333333333,2.01,Oil/Chem Tanker,SG SMC,-13538.607383611778
9552800,Topaz Express,0.6241760404405513,40,27.65,1.3,Oli/Chem,SG SMC,-19973.633294097643
9378773,Torero,0.6182543881114047,40,31.1,1.3,Oil/Chem Tanker,SG SMC,-19784.140419564952
9718387,True Nautilus,0.15778573021181716,78,22.94871794871795,1.125,Bulk Carrier,SG SMC,-9845.829565217391
9713076,True North,0.16468571428571427,70,23.185714285714287,1.02,Bulk Carrier,SG SMC,-9222.4
9937531,TS Dubai,0.08581841291158061,35,15.942857142857143,,Container,HK SMC,-2402.915561524257
9937529,TS HongKong,0.9322116270848289,43,18.790697674418606,,Container,HK SMC,-32068.079971718107
9660023,United Crown,0,60,29.75,0.912,Bulk Carrier,IN SMC,0
9546813,United Dignity,0,63,27.603174603174605,1.092,Bulk Carrier,IN SMC,0
9793234,Vega Sea,0.015444015444015443,74,23.33783783783784,0.87,Gas Tanker,SG SMC,-914.2857142857142
9793260,Vega Song,0.024671497584541062,72,23.34722222222222,0.87,Gas Tanker,SG SMC,-1421.0782608695654
9793246,Vega Star,0.0014925373134328358,67,24.16417910447761,0.87,Gas Tanker,SG SMC,-80
9793258,Vega Sun,0.02430612244897959,56,25.035714285714285,0.87,Gas Tanker,SG SMC,-1088.9142857142856
9215311,W Kampala,0,23,18.043478260869566,1.7,Container,CYP SMC,0
9215323,W Kithira,0.003023516237402015,38,24.342105263157894,1.7,Container,CYP SMC,-91.91489361702126
9211482,W Klaipeda,0,50,24.24,1.7,Container,CYP SMC,0
9211494,W Kyrenia,0,55,24.254545454545454,1.7,Container,CYP SMC,0
9342700,Wan Hai 316,0.013753846153846153,26,24.5,1,Container,CN SMC,-286.08
9342712,Wan Hai 317,0.3180249543453019,50,25.44,1,Container,CN SMC,-12720.998173812071
9294886,Wan Hai 506,0.02743529411764706,50,27.24,1.5,Container,CN SMC,-1097.4117647058824
9326407,Wan Hai 507,0.032543100088328614,37,28.945945945945947,1.5,Container,CN SMC,-963.2757626145269
9326419,Wan Hai 508,0.02270676691729323,38,22.57894736842105,1.5,Container,CN SMC,-690.2857142857142
9326433,Wan Hai 510,0.1036111783404459,48,25.4375,1.5,Container,CN SMC,-3978.669248273123
9224506,Wan Hai 611,0.006429232192414432,48,26.208333333333332,2,Container,CN SMC,-246.88251618871413
9224518,Wan Hai 612,0.0508582326764145,,22.545454545454547,2,Container,CN SMC,-2685.3146853146854
9224520,Wan Hai 613,0.25715341491173366,43,23.162790697674417,2,Container,CN SMC,-8846.077472963638
9307035,Wan Hai 622,0.009169378802886657,37,27.18918918918919,2.5,Container,CN SMC,-271.413612565445
9321017,Wan Hai 623,0,47,21.02127659574468,2.5,Container,CN SMC,0
9298997,Wan Hai 625,0.07248520215917548,55,21.90909090909091,1.3,Container,CN SMC,-3189.3488950037213
9555096,Wan Hai A07,0.05934842496107318,33,26.393939393939394,2.5,Container,CN SMC,-1566.798418972332
9555101,Wan Hai A08,0.037802365431178986,52,26.03846153846154,2.5,Container,CN SMC,-1572.578401937046
9186687,Weser Stahl,0.06102761408379386,30,11.133333333333333,0.37,Bulk Carrier,IN SMC,-1464.6627380110526
9396799,Wisteria,0,17,29.823529411764707,0.96,Tanker,IN SMC,0
9360958,Xena,0.8679900269732044,37,19.783783783783782,1.02,Oil/Chem Tanker,SG SMC,-25692.50479840685
9694385,Zita Schulte,0.025988816454984822,62,26.112903225806452,0.72,Gas Carrier,IN SMC,-1289.0452961672472
9675078,Zoe Schulte,0.009878426315257127,51,23.568627450980394,0.72,Gas Carrier,IN SMC,-403.03979366249087
