VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9553622,Theresa Schulte,0,66,26.43939394,0.696,Gas Carrier,IN SMC,0
9897925,TM Lustrous,0,65,24.61538462,0.37,Bulk Carrier,HK SMC,0
9446116,TMN Plenitude,0.564108641,30,29.63333333,2.01,Oil/Chem Tanker,SG SMC,-13538.60738
9552800,Topaz Express,0.62417604,40,27.65,1.3,Oli/Chem,SG SMC,-19973.63329
9378773,Torero,0.618254388,40,31.1,1.3,Oil/Chem Tanker,SG SMC,-19784.14042
9718387,True Nautilus,0.15778573,78,22.94871795,1.125,Bulk Carrier,SG SMC,-9845.829565
9713076,True North,0.164685714,70,23.18571429,1.02,Bulk Carrier,SG SMC,-9222.4
9937531,TS Dubai,0.085818413,35,15.94285714,,Container,HK SMC,-2402.915562
9937529,TS HongKong,0.932211627,43,18.79069767,,Container,HK SMC,-32068.07997
9660023,United Crown,0,60,29.75,0.912,Bulk Carrier,IN SMC,0
9546813,United Dignity,0,63,27.6031746,1.092,Bulk Carrier,IN SMC,0
9793234,Vega Sea,0.015444015,74,23.33783784,0.87,Gas Tanker,SG SMC,-914.2857143
9793260,Vega Song,0.024671498,72,23.34722222,0.87,Gas Tanker,SG SMC,-1421.078261
9793246,Vega Star,0.001492537,67,24.1641791,0.87,Gas Tanker,SG SMC,-80
9793258,Vega Sun,0.024306122,56,25.03571429,0.87,Gas Tanker,SG SMC,-1088.914286
9215311,W Kampala,0,23,18.04347826,1.7,Container,CYP SMC,0
9215323,W Kithira,0.003023516,38,24.34210526,1.7,Container,CYP SMC,-91.91489362
9211482,W Klaipeda,0,50,24.24,1.7,Container,CYP SMC,0
9211494,W Kyrenia,0,55,24.25454545,1.7,Container,CYP SMC,0
9342700,Wan Hai 316,0.013753846,26,24.5,1,Container,CN SMC,-286.08
9342712,Wan Hai 317,0.318024954,50,25.44,1,Container,CN SMC,-12720.99817
9294886,Wan Hai 506,0.027435294,50,27.24,1.5,Container,CN SMC,-1097.411765
9326407,Wan Hai 507,0.0325431,37,28.94594595,1.5,Container,CN SMC,-963.2757626
9326419,Wan Hai 508,0.022706767,38,22.57894737,1.5,Container,CN SMC,-690.2857143
9326433,Wan Hai 510,0.103611178,48,25.4375,1.5,Container,CN SMC,-3978.669248
9224506,Wan Hai 611,0.006429232,48,26.20833333,2,Container,CN SMC,-246.8825162
9224518,Wan Hai 612,0.050858233,,22.54545455,2,Container,CN SMC,-2685.314685
9224520,Wan Hai 613,0.257153415,43,23.1627907,2,Container,CN SMC,-8846.077473
9307035,Wan Hai 622,0.009169379,37,27.18918919,2.5,Container,CN SMC,-271.4136126
9321017,Wan Hai 623,0,47,21.0212766,2.5,Container,CN SMC,0
9298997,Wan Hai 625,0.072485202,55,21.90909091,1.3,Container,CN SMC,-3189.348895
9555096,Wan Hai A07,0.059348425,33,26.39393939,2.5,Container,CN SMC,-1566.798419
9555101,Wan Hai A08,0.037802365,52,26.03846154,2.5,Container,CN SMC,-1572.578402
9186687,Weser Stahl,0.061027614,30,11.13333333,0.37,Bulk Carrier,IN SMC,-1464.662738
9396799,Wisteria,0,17,29.82352941,0.96,Tanker,IN SMC,0
9360958,Xena,0.867990027,37,19.78378378,1.02,Oil/Chem Tanker,SG SMC,-25692.5048
9694385,Zita Schulte,0.025988816,62,26.11290323,0.72,Gas Carrier,IN SMC,-1289.045296
9675078,Zoe Schulte,0.009878426,51,23.56862745,0.72,Gas Carrier,IN SMC,-403.0397937
